#,Estado,Ciudad,Coordenadas Lat,Coordenadas Lon
1,Aguascalientes,Aguascalientes,21.8823395,-102.2825928
2,Baja California,Tijuana,32.5027008,-117.0037079
3,Baja California Sur,La Paz,24.1443691,-110.300499
4,Campeche,Campeche,19.8438606,-90.5255432
5,Coahuila de Zaragoza,Saltillo,25.4232101,-101.0053024
6,Colima,Colima,19.2499695,-103.7271423
7,Chiapas,Tuxtla Guti�rrez,16.7597294,-93.1130829
8,Chihuahua,Chihuahua,28.6352806,-106.0888901
9,Distrito Federal,Ciudad de M�xico,19.4284706,-99.1276627
10,Durango,Victoria de Durango,24.0203209,-104.6575623
11,Guanajuato,Le�n,21.1290798,-101.6737366
12,Guerrero,Chilpancingo de los Bravo,17.5506001,-99.5057831
13,Hidalgo,Pachuca de Soto,20.1169701,-98.7332916
14,Jalisco,Guadalajara,20.6668205,-103.3918228
15,M�xico,Toluca de Lerdo,19.2878609,-99.6532364
16,Michoac�n de Ocampo,Morelia,19.7007809,-101.184433
17,Morelos,Cuernavaca,18.9260998,-99.230751
18,Nayarit,Tepic,21.50951,-104.8956909
19,Nuevo Le�n,Monterrey,25.6750698,-100.3184662
20,Oaxaca,Oaxaca de Ju�rez,17.0654202,-96.7236481
21,Puebla,Puebla de Zaragoza,19.0379295,-98.2034607
22,Quer�taro,Santiago de Quer�taro,20.5880604,-100.3880615
23,Quintana Roo,Canc�n,21.1742897,-86.8465576
24,San Luis Potos�,San Luis Potos�,22.1498203,-100.9791565
25,Sinaloa,Culiac�n,24.7903194,-107.3878174
26,Sonora,Hermosillo,29.1026001,-110.9773178
27,Tabasco,Villahermosa,17.9868908,-92.9302826
28,Tamaulipas,Tampico,22.2448406,-97.8351974
29,Tlaxcala,Tlaxcala,19.3190498,-98.1998215
30,Veracruz de Ignacio de la Llave,Veracruz,19.5312405,-96.9158936
31,Yucat�n,M�rida,20.9753704,-89.6169586
32,Zacatecas,Zacatecas,22.7684307,-102.5814133
